# Simulation 1 (Up to date)
# 908 data points written for 7 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.2729,0,0,0
0.01,0,0,54.236,0,0,0
0.02,0.0027121,0.54245,59.878,0.54543,2.8506e-4,0
0.03,0.011131,1.1414,65.535,1.1477,0.0011699,0
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.025823,1.797,72.534,1.8069,0.0027141,0
0.05,0.047421,2.5226,80.071,2.5365,0.0049841,0
0.06,0.076651,3.3236,86.813,3.3419,0.0080563,0
0.07,0.11423,4.1921,93.563,4.2152,0.012006,0
0.08,0.16083,5.1281,96.579,5.1563,0.016904,0
0.09,0.21694,6.0943,95.857,6.1279,0.022801,0
0.1,0.28268,7.0533,95.135,7.0921,0.029711,0
0.11,0.35797,8.005,94.412,8.0491,0.037624,0
0.12,0.44274,8.9495,93.689,8.9988,0.046534,0
0.13,0.53692,9.8868,92.964,9.9413,0.056433,0
0.14,0.64044,10.817,92.239,10.876,0.067313,0
0.15,0.75322,11.74,91.512,11.804,0.079167,0
0.16,0.8752,12.655,90.785,12.725,0.091987,0
0.17,1.0063,13.563,90.057,13.638,0.10577,0
0.18,1.1464,14.464,89.328,14.544,0.12049,0
0.19,1.2955,15.358,88.598,15.443,0.13617,0
0.2,1.4535,16.244,87.868,16.334,0.15277,0
0.21,1.6204,17.123,87.136,17.218,0.17031,0
0.22,1.796,17.995,86.403,18.094,0.18877,0
0.23,1.9803,18.86,85.67,18.963,0.20813,0
0.24,2.1731,19.717,85.109,19.825,0.22841,0
0.25,2.3746,20.568,84.719,20.681,0.24958,0
0.26,2.5845,21.416,84.327,21.533,0.27164,0
0.27,2.8028,22.259,83.935,22.382,0.29459,0
0.28,3.0296,23.099,83.542,23.226,0.31843,0
0.29,3.2648,23.935,83.148,24.066,0.34314,0
0.3,3.5083,24.766,82.869,24.903,0.36874,0
0.31,3.7601,25.595,82.705,25.736,0.3952,0
0.32,4.0202,26.423,82.54,26.568,0.42254,0
0.33,4.2886,27.248,82.375,27.398,0.45075,0
0.34,4.5652,28.072,82.21,28.227,0.47982,0
0.35,4.85,28.895,82.044,29.054,0.50976,0
0.36,5.143,29.716,81.877,29.879,0.54056,0
# Event LAUNCHROD occurred at t=0.37 seconds
0.37,5.4443,30.535,81.635,30.703,0.57222,0
0.385,5.9115,31.759,81.326,31.935,0.62141,2.9063e-8
0.4075,6.6467,33.589,81.36,33.777,0.6991,1.8526e-7
0.44125,7.8267,36.337,81.012,36.542,0.82441,6.8861e-7
0.49125,9.7448,40.388,80.441,40.62,1.0294,2.0793e-6
0.54125,11.865,44.417,80.116,44.675,1.2573,4.3191e-6
0.59125,14.186,48.429,79.779,48.713,1.5083,7.4989e-6
0.64125,16.707,52.424,79.431,52.735,1.7827,1.1714e-5
0.69125,19.428,56.401,79.068,56.741,2.0806,1.7057e-5
0.74125,22.347,60.36,78.701,60.729,2.4028,2.3605e-5
0.79125,25.463,64.3,78.35,64.701,2.7498,3.1429e-5
0.84125,28.776,68.222,77.98,68.657,3.1224,4.0599e-5
0.89125,32.285,72.125,77.6,72.596,3.5217,5.12e-5
0.94125,35.988,76.009,77.205,76.519,3.9488,6.3327e-5
0.99125,39.885,79.872,76.85,80.426,4.4048,7.707e-5
1.0413,43.975,83.718,76.581,84.317,4.891,9.2562e-5
1.0913,48.257,87.549,76.295,88.199,5.4088,1.0995e-4
1.1413,52.73,91.366,76.01,92.07,5.9599,1.2941e-4
1.1913,57.393,95.169,75.715,95.931,6.5456,1.5116e-4
1.2413,62.246,98.957,75.422,99.782,7.1673,1.7539e-4
1.2913,67.289,102.73,75.008,103.62,7.8262,2.0236e-4
1.3413,72.519,106.48,74.545,107.44,8.523,2.323e-4
1.3913,77.936,110.21,74.103,111.24,9.2581,2.6564e-4
1.4413,83.54,113.92,73.674,115.02,10.031,3.0292e-4
1.4913,89.328,117.61,73.288,118.78,10.843,3.4478e-4
1.5413,95.3,121.28,72.9,122.51,11.691,3.9184e-4
1.5913,101.46,124.93,72.517,126.23,12.575,4.4472e-4
1.6413,107.79,128.56,72.138,129.92,13.493,5.0388e-4
1.6913,114.31,132.17,71.746,133.58,14.444,5.6972e-4
1.7413,121.01,135.77,71.333,137.23,15.428,6.4259e-4
1.7913,127.89,139.34,70.896,140.85,16.441,7.2281e-4
1.8413,134.94,142.88,70.431,144.44,17.484,8.1064e-4
1.8913,142.18,146.41,69.93,148.01,18.557,9.0608e-4
1.9413,149.58,149.91,69.401,151.56,19.658,0.0010088
1.9913,157.17,153.38,68.835,155.08,20.789,0.0011183
2.0413,164.92,156.82,68.253,158.57,21.95,0.001234
2.0913,172.85,160.23,67.658,162.04,23.142,0.0013556
2.1413,180.94,163.61,67.063,165.48,24.367,0.0014831
2.1913,189.21,166.97,66.493,168.9,25.624,0.0016169
2.2413,197.64,170.29,65.904,172.29,26.915,0.0017575
2.2913,206.24,173.59,65.263,175.65,28.24,0.0019057
2.3413,215,176.85,64.658,178.98,29.598,0.0020619
2.3913,223.92,180.09,64.065,182.27,30.989,0.0022266
2.4412,233,183.29,63.5,185.53,32.412,0.0023997
2.4912,242.25,186.47,62.909,188.77,33.865,0.002581
2.5412,251.65,189.62,62.304,191.96,35.347,0.0027703
2.5912,261.21,192.73,61.659,195.13,36.857,0.0029679
2.6412,270.92,195.81,60.979,198.26,38.395,0.0031743
2.6912,280.79,198.86,60.239,201.35,39.96,0.0033906
2.7412,290.81,201.87,59.481,204.42,41.554,0.003618
2.7912,300.98,204.84,58.699,207.44,43.176,0.0038567
2.8412,311.29,207.77,57.935,210.44,44.829,0.0041066
2.8912,321.75,210.67,57.223,213.39,46.513,0.0043681
2.9412,332.36,213.53,56.561,216.32,48.228,0.0046414
2.9912,343.1,216.36,55.945,219.21,49.973,0.0049262
3.0412,353.99,219.16,55.322,222.06,51.748,0.0052224
3.0912,365.02,221.93,54.658,224.88,53.55,0.005531
3.1412,376.18,224.66,53.923,227.66,55.378,0.0058532
3.1912,387.48,227.35,53.171,230.4,57.233,0.0061895
3.2412,398.92,230.01,52.397,233.11,59.114,0.0065395
3.2912,410.48,232.62,51.606,235.77,61.021,0.0069023
3.3412,422.18,235.2,50.843,238.41,62.955,0.0072765
3.3912,434,237.74,50.092,241,64.916,0.0076609
3.4412,445.95,240.24,49.343,243.56,66.905,0.0080542
3.4912,458.03,242.71,48.358,246.08,68.92,0.0084566
3.5412,470.22,245.13,46.914,248.55,70.961,0.0088686
3.5912,482.54,247.47,45.484,250.94,73.027,0.0092915
3.6412,494.97,249.74,44.028,253.26,75.118,0.0097269
3.6912,507.51,251.94,42.531,255.5,77.232,0.010176
3.7412,520.16,254.07,41.017,257.67,79.368,0.010641
3.7912,532.92,256.11,39.496,259.77,81.527,0.011123
3.8412,545.77,258.09,37.998,261.78,83.709,0.011618
3.8912,558.72,259.98,35.737,263.73,85.912,0.012126
3.9412,571.77,261.77,26.993,265.56,88.137,0.012646
3.9912,584.89,263.12,18.148,266.94,90.38,0.013176
4.0412,598.07,264.02,11.821,267.88,92.637,0.013717
4.0912,611.28,264.62,6.2174,268.49,94.905,0.01427
4.1412,624.52,264.93,1.8063,268.82,97.181,0.014834
4.1912,637.77,265.02,-2.4522,268.93,99.463,0.015408
4.2412,651.02,264.9,-5.6514,268.81,101.75,0.015989
4.2912,664.26,264.61,-8.5918,268.54,104.04,0.016576
4.3412,677.48,264.18,-11.549,268.12,106.32,0.01717
4.3912,690.67,263.61,-14.158,267.55,108.61,0.017771
4.4412,703.83,262.9,-16.507,266.86,110.9,0.018381
4.4912,716.96,262.08,-17.551,266.04,113.19,0.019
4.5412,730.04,261.21,-17.997,265.16,115.47,0.019627
4.5912,743.08,260.31,-18.414,264.27,117.75,0.020263
4.6412,756.07,259.4,-18.914,263.34,120.02,0.020907
4.6912,769.02,258.45,-19.427,262.4,122.29,0.02156
4.7412,781.92,257.48,-19.95,261.43,124.56,0.022224
4.7912,794.76,256.49,-20.476,260.43,126.82,0.022896
4.8412,807.56,255.46,-20.977,259.41,129.07,0.023575
4.8912,820.31,254.42,-21.446,258.37,131.33,0.024262
4.9412,833,253.35,-21.866,257.3,133.57,0.024955
4.9912,845.64,252.26,-22.072,256.21,135.82,0.025657
# Event BURNOUT occurred at t=5.0412 seconds
# Event EJECTION_CHARGE occurred at t=5.0412 seconds
5.0412,858.23,251.16,-21.909,255.11,138.05,0.026366
5.0912,870.76,250.07,-21.759,254.01,140.28,0.027083
5.1412,883.24,248.99,-21.614,252.92,142.51,0.027807
5.1912,895.66,247.91,-21.518,251.83,144.72,0.028536
5.2412,908.03,246.84,-21.459,250.75,146.93,0.029271
5.2912,920.34,245.76,-21.378,249.68,149.14,0.030014
5.3412,932.61,244.7,-21.263,248.62,151.34,0.030765
5.3912,944.81,243.64,-21.158,247.56,153.54,0.031525
5.4412,956.97,242.58,-21.027,246.5,155.73,0.032293
5.4912,969.07,241.54,-20.864,245.45,157.91,0.033069
5.5412,981.12,240.5,-20.698,244.41,160.09,0.033852
5.5912,993.12,239.46,-20.567,243.38,162.27,0.03464
5.6412,1005.1,238.44,-20.425,242.35,164.44,0.035432
5.6912,1017,237.42,-20.338,241.32,166.6,0.036228
5.7412,1028.8,236.41,-20.263,240.3,168.76,0.037029
5.7912,1040.6,235.39,-20.203,239.29,170.92,0.037835
5.8412,1052.4,234.39,-20.132,238.28,173.06,0.03865
5.8912,1064,233.38,-20.013,237.28,175.21,0.039474
5.9412,1075.7,232.38,-19.886,236.29,177.35,0.040309
5.9912,1087.3,231.39,-19.739,235.3,179.49,0.041154
6.0412,1098.8,230.41,-19.595,234.31,181.62,0.042006
6.0912,1110.3,229.43,-19.468,233.33,183.74,0.042864
6.1412,1121.8,228.46,-19.365,232.35,185.86,0.043727
6.1912,1133.2,227.5,-19.285,231.38,187.98,0.044595
6.2412,1144.5,226.53,-19.223,230.42,190.09,0.045467
6.2912,1155.8,225.57,-19.166,229.46,192.19,0.046346
6.3412,1167.1,224.62,-19.108,228.5,194.29,0.047233
6.3912,1178.3,223.66,-19.032,227.55,196.39,0.048128
6.4412,1189.4,222.71,-18.949,226.6,198.48,0.049032
6.4912,1200.6,221.77,-18.825,225.66,200.57,0.049943
6.5412,1211.6,220.83,-18.675,224.73,202.65,0.05086
6.5912,1222.6,219.9,-18.563,223.79,204.73,0.051782
6.6412,1233.6,218.98,-18.455,222.87,206.81,0.052709
6.6912,1244.5,218.06,-18.371,221.94,208.88,0.05364
6.7412,1255.4,217.14,-18.279,221.02,210.94,0.054576
6.7912,1266.3,216.23,-18.227,220.11,213,0.055519
6.8412,1277,215.32,-18.175,219.2,215.06,0.056469
6.8912,1287.8,214.41,-18.114,218.29,217.11,0.057428
6.9412,1298.5,213.51,-18.046,217.39,219.16,0.058396
6.9912,1309.1,212.61,-17.954,216.49,221.2,0.059372
7.0412,1319.7,211.71,-17.852,215.6,223.24,0.060354
7.0912,1330.3,210.82,-17.788,214.71,225.28,0.061342
7.1412,1340.8,209.93,-17.697,213.82,227.31,0.062335
7.1912,1351.3,209.05,-17.601,212.94,229.34,0.063335
7.2412,1361.7,208.17,-17.52,212.07,231.36,0.064339
7.2912,1372.1,207.3,-17.409,211.19,233.38,0.065349
7.3412,1382.5,206.43,-17.315,210.32,235.4,0.066364
7.3912,1392.8,205.57,-17.264,209.46,237.41,0.067385
7.4412,1403,204.7,-17.201,208.6,239.42,0.068413
7.4912,1413.2,203.85,-17.143,207.74,241.42,0.069447
7.5412,1423.4,202.99,-17.095,206.88,243.42,0.070489
7.5912,1433.5,202.14,-17.047,206.03,245.41,0.071538
7.6412,1443.6,201.29,-16.992,205.19,247.41,0.072595
7.6912,1453.7,200.44,-16.933,204.34,249.4,0.07366
7.7412,1463.7,199.59,-16.836,203.5,251.38,0.074731
7.7912,1473.6,198.75,-16.737,202.67,253.36,0.07581
7.8412,1483.5,197.92,-16.626,201.83,255.34,0.076894
7.8912,1493.4,197.09,-16.528,201,257.32,0.077982
7.9412,1503.2,196.27,-16.438,200.18,259.29,0.079074
7.9912,1513,195.45,-16.355,199.36,261.26,0.080169
8.0412,1522.8,194.63,-16.323,198.54,263.22,0.081269
8.0912,1532.5,193.81,-16.306,197.72,265.18,0.082374
8.1412,1542.2,193,-16.29,196.91,267.13,0.083485
8.1912,1551.8,192.19,-16.272,196.1,269.08,0.084603
8.2412,1561.4,191.37,-16.239,195.29,271.03,0.085729
8.2912,1570.9,190.56,-16.181,194.49,272.97,0.086862
8.3412,1580.4,189.75,-16.103,193.69,274.91,0.088004
8.3912,1589.9,188.95,-15.985,192.89,276.86,0.089152
8.4412,1599.3,188.16,-15.852,192.1,278.79,0.090306
8.4912,1608.7,187.37,-15.785,191.31,280.73,0.091467
8.5412,1618.1,186.58,-15.724,190.52,282.65,0.092632
8.5912,1627.4,185.79,-15.675,189.73,284.58,0.093803
8.6412,1636.7,185.01,-15.635,188.95,286.5,0.094978
8.6912,1645.9,184.23,-15.587,188.17,288.42,0.096158
8.7412,1655.1,183.45,-15.545,187.4,290.33,0.097343
8.7912,1664.2,182.68,-15.514,186.62,292.24,0.098534
8.8412,1673.3,181.9,-15.485,185.85,294.15,0.09973
8.8912,1682.4,181.13,-15.439,185.08,296.06,0.10093
8.9412,1691.5,180.36,-15.395,184.32,297.96,0.10214
8.9912,1700.5,179.59,-15.346,183.56,299.86,0.10335
9.0412,1709.4,178.82,-15.276,182.8,301.75,0.10458
9.0912,1718.3,178.06,-15.204,182.04,303.65,0.10581
9.1412,1727.2,177.3,-15.12,181.29,305.54,0.10704
9.1912,1736.1,176.55,-15.05,180.54,307.43,0.10828
9.2412,1744.9,175.8,-14.977,179.79,309.31,0.10953
9.2912,1753.7,175.05,-14.92,179.04,311.2,0.11078
9.3412,1762.4,174.3,-14.89,178.3,313.07,0.11204
9.3912,1771.1,173.56,-14.85,177.56,314.95,0.1133
9.4412,1779.7,172.82,-14.803,176.82,316.82,0.11457
9.4913,1788.4,172.08,-14.767,176.08,318.69,0.11584
9.5413,1796.9,171.34,-14.722,175.35,320.55,0.11712
9.5913,1805.5,170.61,-14.709,174.62,322.41,0.1184
9.6413,1814,169.87,-14.702,173.89,324.27,0.11969
9.6913,1822.5,169.14,-14.662,173.16,326.13,0.12098
9.7413,1830.9,168.41,-14.616,172.44,327.98,0.12228
9.7913,1839.3,167.68,-14.545,171.72,329.84,0.12359
9.8413,1847.7,166.95,-14.459,171,331.69,0.1249
9.8913,1856,166.23,-14.391,170.28,333.54,0.12622
9.9413,1864.3,165.51,-14.323,169.57,335.38,0.12755
9.9913,1872.6,164.8,-14.256,168.86,337.22,0.12888
10.041,1880.8,164.09,-14.186,168.15,339.06,0.13022
10.091,1889,163.38,-14.153,167.44,340.89,0.13156
10.141,1897.1,162.67,-14.151,166.73,342.73,0.13291
